"industryid";"industrydescription";"created_at";"updated_at"
1;"Transport Industry";"2021-09-03 12:29:56";"2021-09-03 12:29:56"
2;"Computer Industry";"2021-09-03 12:30:23";"2021-09-03 12:30:32"
3;"Telecommunication Industry";"2021-09-03 12:30:43";"2021-09-03 12:30:43"
4;"Agriculture Industry";"2021-09-03 12:30:52";"2021-09-03 12:30:52"
5;"Construction Industry";"2021-09-03 12:31:01";"2021-09-03 12:31:01"
6;"Education Industry";"2021-09-03 12:31:08";"2021-09-03 12:31:08"
7;"Pharmaceutical Industry";"2021-09-03 12:31:13";"2021-09-03 12:31:13"
8;"Food Industry";"2021-09-03 12:31:20";"2021-09-03 12:31:20"
9;"Health Care Industry";"2021-09-03 12:31:32";"2021-09-03 12:31:32"
10;"Hospitality Industry";"2021-09-03 12:31:40";"2021-09-03 12:31:40"
11;"Entertainment Industry";"2021-09-03 12:31:47";"2021-09-03 12:31:47"
12;"News Media Industry";"2021-09-03 12:31:52";"2021-09-03 12:31:52"
13;"Energy Industry";"2021-09-03 12:31:58";"2021-09-03 12:31:58"
14;"Manufacturing Industry";"2021-09-03 12:32:06";"2021-09-03 12:32:06"
15;"Music Industry";"2021-09-03 12:32:12";"2021-09-03 12:32:12"
16;"Mining Industry";"2021-09-03 12:32:18";"2021-09-03 12:32:18"
17;"Worldwide web";"2021-09-03 12:32:25";"2021-09-03 12:32:25"
18;"Electronics Industry";"2021-09-03 12:32:33";"2021-09-03 12:32:33"
