"regionid";"name";"created_at";"updated_at"
1;"Khomas";"2021-09-02 15:06:59";"2021-09-02 15:06:59"
2;"Hardap";"2021-09-02 15:07:05";"2021-09-02 15:07:05"
3;"!Karas";"2021-09-02 15:07:12";"2021-09-02 15:07:12"
4;"Erongo";"2021-09-02 15:07:17";"2021-09-02 15:07:17"
5;"Kavango-East";"2021-09-02 15:07:28";"2021-09-02 15:07:28"
6;"Kavango-West";"2021-09-02 15:07:35";"2021-09-02 15:07:35"
7;"Kunene";"2021-09-02 15:07:41";"2021-09-02 15:07:41"
8;"Omaheke";"2021-09-02 15:07:47";"2021-09-02 15:07:47"
9;"Omusati";"2021-09-02 15:07:52";"2021-09-02 15:07:52"
10;"Oshana";"2021-09-02 15:07:57";"2021-09-02 15:07:57"
11;"Otjozondjupa";"2021-09-02 15:08:08";"2021-09-02 15:08:08"
12;"Ohangwena";"2021-09-02 15:08:16";"2021-09-02 15:08:16"
13;"Oshikoto";"2021-09-02 15:08:21";"2021-09-02 15:08:21"
14;"Zambezi";"2021-09-02 15:08:26";"2021-09-02 15:08:26"
